anchor_source,anchor_id,event,band,measurement_mode,anchor_mjd,anchor_definition,anchor_source_authors,anchor_source_year,anchor_doi,anchor_source_location,anchor_provenance_note,redshift_adopted,diagnostic_half_width_rest_days,eligible_N,local_N,local_pre_anchor_N,local_at_anchor_N,local_post_anchor_N,nearest_pre_anchor_mjd,nearest_pre_anchor_rest_days,nearest_post_anchor_mjd,nearest_post_anchor_rest_days,local_mjd_min,local_mjd_max,local_span_rest_days,local_brightest_observed_mjd,local_brightest_offset_rest_days,local_brightest_has_pre_measurement,local_brightest_has_post_measurement,pre_adjacent_steps_N,pre_rising_steps_N,pre_declining_steps_N,pre_tied_steps_N,pre_rising_step_fraction,post_adjacent_steps_N,post_rising_steps_N,post_declining_steps_N,post_tied_steps_N,post_declining_step_fraction,final_decline_anchor_selected,final_fitting_window_selected,model_time_defined,notes
CURRENT,CURRENT,AT2018hyz,g,MAGNITUDE,58429.0,bolometric_peak,Gomez et al.,2020,10.1093/mnras/staa2099,Sections 3.1 and 5; Figs. 8-9,,0.04573,30.0,79,19,2,0,17,58420.48647999996,-8.141221921563698,58432.352736666646,3.2061207641033502,58405.480409999844,58455.021484375,47.3746324339517,58441.087890625,11.559284542855229,True,True,1,1,0,0,1.0,16,8,8,0,0.5,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2018hyz,g,MAGNITUDE,58429.0,bolometric_peak,Gomez et al.,2020,10.1093/mnras/staa2099,Sections 3.1 and 5; Figs. 8-9,,0.04573,60.0,79,30,2,0,28,58420.48647999996,-8.141221921563698,58432.352736666646,3.2061207641033502,58405.480409999844,58488.330078125,79.22663414567461,58441.087890625,11.559284542855229,True,True,1,1,0,0,1.0,27,11,16,0,0.5925925925925926,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2018hyz,g,MAGNITUDE,58429.0,bolometric_peak,Gomez et al.,2020,10.1093/mnras/staa2099,Sections 3.1 and 5; Figs. 8-9,,0.04573,120.0,79,44,2,0,42,58420.48647999996,-8.141221921563698,58432.352736666646,3.2061207641033502,58405.480409999844,58549.240234375,137.47317603507244,58441.087890625,11.559284542855229,True,True,1,1,0,0,1.0,41,14,27,0,0.6585365853658537,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,g,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,30.0,55,23,11,0,12,58763.45,-0.5418025277579328,58766.31,2.2755706165689826,58746.5,58793.35,46.15172440968008,58763.45,-0.5418025277579328,True,True,10,9,0,1,0.9,11,1,10,0,0.9090909090909091,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,g,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,60.0,55,35,11,0,24,58763.45,-0.5418025277579328,58766.31,2.2755706165689826,58746.5,58821.72,74.09888388679397,58763.45,-0.5418025277579328,True,True,10,9,0,1,0.9,23,4,19,0,0.8260869565217391,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,g,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,120.0,55,50,11,0,39,58763.45,-0.5418025277579328,58766.31,2.2755706165689826,58746.5,58885.13,136.56378985942428,58763.45,-0.5418025277579328,True,True,10,9,0,1,0.9,38,8,29,1,0.7631578947368421,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,i,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,30.0,29,8,3,0,5,58762.26,-1.7140661787140195,58766.32,2.285421571621082,58752.27,58790.09,37.25631199944806,58766.32,2.285421571621082,True,True,2,2,0,0,1.0,4,1,3,0,0.75,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,i,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,60.0,29,15,3,0,12,58762.26,-1.7140661787140195,58766.32,2.285421571621082,58752.27,58821.73,68.42473377794607,58766.32,2.285421571621082,True,True,2,2,0,0,1.0,11,2,8,1,0.7272727272727273,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,i,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,120.0,29,27,3,0,24,58762.26,-1.7140661787140195,58766.32,2.285421571621082,58752.27,58882.5,128.28898761735263,58766.32,2.285421571621082,True,True,2,2,0,0,1.0,23,7,15,1,0.6521739130434783,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,r,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,30.0,61,21,9,0,12,58763.49,-0.5023987075567042,58766.31,2.2755706165689826,58745.49,58793.47,47.264882330345074,58763.49,-0.5023987075567042,True,True,8,5,3,0,0.625,11,3,8,0,0.7272727272727273,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,r,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,60.0,61,32,9,0,23,58763.49,-0.5023987075567042,58766.31,2.2755706165689826,58745.49,58821.73,75.10368130190737,58763.49,-0.5023987075567042,True,True,8,5,3,0,0.625,22,6,16,0,0.7272727272727273,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2019qiz,r,MAGNITUDE,58764.0,bolometric_peak,Nicholl et al.,2020,10.1093/mnras/staa2824,Section 5.1; Figs. 9-10,,0.01513,120.0,61,55,9,0,46,58763.49,-0.5023987075567042,58766.31,2.2755706165689826,58745.49,58881.11,133.5986523893517,58763.49,-0.5023987075567042,True,True,8,5,3,0,0.625,45,13,31,1,0.6888888888888889,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,W1,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,30.0,20,1,1,0,0,59143.278646855004,-8.488926341758747,,,59143.278646855004,59143.278646855004,0,59143.278646855004,-8.488926341758747,False,False,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,W1,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,60.0,20,1,1,0,0,59143.278646855004,-8.488926341758747,,,59143.278646855004,59143.278646855004,0,59143.278646855004,-8.488926341758747,False,False,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,W1,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,120.0,20,1,1,0,0,59143.278646855004,-8.488926341758747,,,59143.278646855004,59143.278646855004,0,59143.278646855004,-8.488926341758747,False,False,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,W2,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,30.0,20,1,1,0,0,59143.278646855004,-8.488926341758747,,,59143.278646855004,59143.278646855004,0,59143.278646855004,-8.488926341758747,False,False,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,W2,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,60.0,20,1,1,0,0,59143.278646855004,-8.488926341758747,,,59143.278646855004,59143.278646855004,0,59143.278646855004,-8.488926341758747,False,False,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,W2,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,120.0,20,1,1,0,0,59143.278646855004,-8.488926341758747,,,59143.278646855004,59143.278646855004,0,59143.278646855004,-8.488926341758747,False,False,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,g,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,30.0,683,47,20,0,27,59151.392419000156,-0.5913887751793653,59153.515729200095,1.4753345403793516,59121.49187499983,59182.55324070016,59.43406110721141,59150.512557900045,-1.447801300351314,True,True,19,14,5,0,0.7368421052631579,26,10,16,0,0.6153846153846154,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,g,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,60.0,683,68,20,0,48,59151.392419000156,-0.5913887751793653,59153.515729200095,1.4753345403793516,59121.49187499983,59210.3457986,86.48593860126442,59150.512557900045,-1.447801300351314,True,True,19,14,5,0,0.7368421052631579,47,21,26,0,0.5531914893617021,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,g,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,120.0,683,145,20,0,125,59151.392419000156,-0.5913887751793653,59153.515729200095,1.4753345403793516,59121.49187499983,59275.18124999991,149.59350483762046,59150.512557900045,-1.447801300351314,True,True,19,14,5,0,0.7368421052631579,124,61,63,0,0.5080645161290323,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,r,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,30.0,801,46,20,0,26,59151.44906250015,-0.5362548422696455,59153.49020829983,1.4504937801305806,59121.47313660011,59182.470046299975,59.37132287942963,59150.49554400006,-1.4643617745497368,True,True,19,12,7,0,0.631578947368421,25,9,16,0,0.64,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,r,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,60.0,801,65,20,0,45,59151.44906250015,-0.5362548422696455,59153.49020829983,1.4504937801305806,59121.47313660011,59204.428113400005,80.74420058780379,59150.49554400006,-1.4643617745497368,True,True,19,12,7,0,0.631578947368421,44,19,25,0,0.5681818181818182,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020wey,r,FLUX,59152.0,fitted_ZTF_r_band_peak,Charalampopoulos et al.,2023,10.1051/0004-6361/202245065,Section 3.2; Fig. 1; Table 2 note,This more precise type supersedes the looser descriptive label r_band_peak for provenance purposes only.,0.02738,120.0,801,138,20,0,118,59151.44906250015,-0.5362548422696455,59153.49020829983,1.4504937801305806,59121.47313660011,59274.368715300225,148.82086345862075,59150.49554400006,-1.4643617745497368,True,True,19,12,7,0,0.631578947368421,117,61,56,0,0.47863247863247865,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020ysg,W1,FLUX,59122.64,model_derived_K_corrected_multiband_peak,Hammerstein et al.,2023,10.3847/1538-4357/aca283,Section 5.1; Table 6; Appendix A.30,Existing fitted_lightcurve_peak label is broadly accurate but underspecified; ZTF missed the peak and lacked pre-peak colour information.,0.277,30.0,21,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
CURRENT,CURRENT,AT2020ysg,W1,FLUX,59122.64,model_derived_K_corrected_multiband_peak,Hammerstein et al.,2023,10.3847/1538-4357/aca283,Section 5.1; Table 6; Appendix A.30,Existing fitted_lightcurve_peak label is broadly accurate but underspecified; ZTF missed the peak and lacked pre-peak colour information.,0.277,60.0,21,1,0,0,1,,,59185.03460178,48.86029896632511,59185.03460178,59185.03460178,0,59185.03460178,48.86029896632511,False,False,0,0,0,0,,0,0,0,0,,False,False,False,"Diagnostic local-neighborhood measurement summary only. The brightest observed local measurement may be sensitive to cadence, noise, or outliers and is not interpreted as a true peak, physical peak, fitted peak, decline anchor, or model-time origin."
