event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2018hyz,UVW1,58432.238365342375,0.0,15.782734710839772,0.02458505033769293,4.863020671649951e-07,1.1011662637923114e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58434.6968653542,2.4585000118240714,15.844396033029417,0.0250692363089206,4.5945352387578873e-07,1.0608607240443227e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58436.41662049387,4.178255151491612,15.88596327259306,0.02405413925795569,4.421958790661279e-07,9.796708636717434e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58439.60426583607,7.365900493692607,15.990317215886815,0.02586355349696579,4.0167343812924325e-07,9.56834856371043e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58440.56757508358,8.329209741204977,16.02496051779862,0.02456630253173827,3.890592926647577e-07,8.803011490729213e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58442.5981009095,10.359735567122698,16.033370252832945,0.02634669741026621,3.8605741545113107e-07,9.368148416996246e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58443.55935362913,11.320988286752254,16.09489914706592,0.03788930036267254,3.6478783012318955e-07,1.2730123213736007e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58445.47653703159,13.238171689212322,16.145516647088286,0.03351146409946008,3.481715983114152e-07,1.0746385693073447e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58446.44233106822,14.203965725842863,16.266572365573435,0.02625688604592943,3.114376070328263e-07,7.531646934532826e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58449.440139492974,17.201774150598794,16.217698554810724,0.0262344475987086,3.2577711882277723e-07,7.87169361688399e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58453.88045345014,21.64208810776472,16.339899548826807,0.02751336927742745,2.9109864270148087e-07,7.376657808503265e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58455.73678089632,23.498415553942323,16.46121750428195,0.02767550072456501,2.60323274408537e-07,6.635660612533018e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58458.565830936655,26.32746559428051,16.5710461582256,0.02906440380207451,2.352781175327367e-07,6.298231728660797e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58461.758710744325,29.52034540195018,16.640268534213902,0.0466760466588729,2.2074586966106778e-07,9.489915199381977e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58464.40228853328,32.163923190906644,16.761986525223765,0.0330887028443957,1.9733557701653614e-07,6.013963833859742e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58467.63379221037,35.39542686799541,16.840752063837527,0.03212307609961989,1.835266657078348e-07,5.429901870275765e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58475.79648348596,43.55811814358458,17.077927937556687,0.03458072499268697,1.475125005453115e-07,4.698276793189722e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58481.551705711056,49.313340368680656,17.157495748213485,0.0359322390096503,1.370887134603333e-07,4.5369256325752806e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58484.703913907986,52.46554856561124,17.308100841066118,0.03809284410066697,1.1933275401236153e-07,4.186766522821061e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58487.72634282708,55.48797748470679,17.180015286332925,0.03730333485630528,1.3427460561702917e-07,4.613358709122355e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58490.46970085474,58.23133551236242,17.257253796767195,0.03809908766748174,1.250542573049759e-07,4.388223485018147e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58493.63273071125,61.394365368876606,17.323540860869237,0.03888845477201495,1.1764775809810728e-07,4.213859222688819e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58496.72038316587,64.48201782349497,17.3263586062204,0.03850994297841238,1.1734282985576372e-07,4.1620291069483855e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58499.43854842894,67.2001830865629,17.369184679773785,0.03955209284784925,1.1280442291147167e-07,4.109332441056903e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58502.068408948835,69.8300436064601,17.392403923963965,0.04498689774868884,1.1041763233683634e-07,4.575095418040477e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58513.36020131549,81.12183597311378,17.638272218865808,0.04949233081276559,8.804224587231065e-08,4.013328411740632e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58518.62752329465,86.38915795227513,17.52093832695438,0.0454830639295486,9.808998524774676e-08,4.109131712030938e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58521.72888788022,89.49052253784612,17.60285404826232,0.06114863481237096,9.096166069304142e-08,5.1229583643521235e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58525.408155406825,93.16979006445035,17.568130113524774,0.04424943769201906,9.391780947245607e-08,3.827642700142027e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58536.99675384164,104.75838849926367,17.693588842740663,0.04791044894996588,8.36689777508453e-08,3.692073884669535e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58541.045705257915,108.80733991554007,17.726410043974525,0.05484895610865416,8.117755795670449e-08,4.1009080233876e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58545.6633754354,113.42501009302214,17.865162219578078,0.049579792965743,7.143895813305304e-08,3.2622369396940124e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58549.84394323034,117.60557788796723,17.941760704691415,0.05106744267205859,6.657263056940286e-08,3.131233885572112e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,58579.15858041821,146.92021507583559,18.236274555749674,0.08083146544417368,5.075632595026288e-08,3.778733903449277e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
